[FileName]-[Scan]	Xs	Vs
RH_Heart_TMTHF_FR1WO_duplicate.txt-101202	0.097381924	78115.30469
RH_Heart_TMTHF_FR1WO_duplicate.txt-101208	0.416666556	200145.8125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101215	0.141869326	2781902
RH_Heart_TMTHF_FR1WO_duplicate.txt-101230	0.158919235	101773.4505
RH_Heart_TMTHF_FR1WO_duplicate.txt-101237	0.200980174	40489.77865
RH_Heart_TMTHF_FR1WO_duplicate.txt-101240	0.302366414	325244.7708
RH_Heart_TMTHF_FR1WO_duplicate.txt-101251	0.345117047	1223545.625
RH_Heart_TMTHF_FR1WO_duplicate.txt-101272	-0.051223297	664040.1667
RH_Heart_TMTHF_FR1WO_duplicate.txt-101276	0.179229834	30147.52734
RH_Heart_TMTHF_FR1WO_duplicate.txt-101287	0.003663415	150097.5938
RH_Heart_TMTHF_FR1WO_duplicate.txt-101313	0.169977943	53530.42448
RH_Heart_TMTHF_FR1WO_duplicate.txt-101324	0.139212423	78804.59636
RH_Heart_TMTHF_FR1WO_duplicate.txt-101325	0.201365733	146972.5573
RH_Heart_TMTHF_FR1WO_duplicate.txt-101330	0.314783472	28156.75781
RH_Heart_TMTHF_FR1WO_duplicate.txt-101336	-0.107397674	5160.776855
RH_Heart_TMTHF_FR1WO_duplicate.txt-101340	0.058034632	44698.89193
RH_Heart_TMTHF_FR1WO_duplicate.txt-101345	0.097450771	37658.95573
RH_Heart_TMTHF_FR1WO_duplicate.txt-101367	-0.066630034	2236321.208
RH_Heart_TMTHF_FR1WO_duplicate.txt-101369	-0.460320751	1423041.313
RH_Heart_TMTHF_FR1WO_duplicate.txt-101378	-0.053319937	93445.57292
RH_Heart_TMTHF_FR1WO_duplicate.txt-101381	0.139921073	66548.15625
RH_Heart_TMTHF_FR1WO_duplicate.txt-101383	0.044862902	237616.4896
RH_Heart_TMTHF_FR1WO_duplicate.txt-101384	0.181466694	58047.77083
RH_Heart_TMTHF_FR1WO_duplicate.txt-101385	0.260134351	97883.21092
RH_Heart_TMTHF_FR1WO_duplicate.txt-101386	-0.23588149	55961.05209
RH_Heart_TMTHF_FR1WO_duplicate.txt-101387	0.126491127	57249.63542
RH_Heart_TMTHF_FR1WO_duplicate.txt-101388	0.011287169	23102.73047
RH_Heart_TMTHF_FR1WO_duplicate.txt-101392	0.40301741	30868.46484
RH_Heart_TMTHF_FR1WO_duplicate.txt-101393	0.011515412	62200.04036
RH_Heart_TMTHF_FR1WO_duplicate.txt-101398	0.26408082	24382.00195
RH_Heart_TMTHF_FR1WO_duplicate.txt-101399	-0.041089588	106407.1823
RH_Heart_TMTHF_FR1WO_duplicate.txt-101400	0.206992185	76297.98958
RH_Heart_TMTHF_FR1WO_duplicate.txt-101401	0.04922103	67126.40625
RH_Heart_TMTHF_FR1WO_duplicate.txt-101402	0.065386034	98985.59116
RH_Heart_TMTHF_FR1WO_duplicate.txt-101403	0.16370936	58564.20313
RH_Heart_TMTHF_FR1WO_duplicate.txt-101404	0.207608761	99561.50001
RH_Heart_TMTHF_FR1WO_duplicate.txt-101405	0.11611419	50186.33464
RH_Heart_TMTHF_FR1WO_duplicate.txt-101406	-0.222280218	72515.13021
RH_Heart_TMTHF_FR1WO_duplicate.txt-101411	0.239488322	58184.61328
RH_Heart_TMTHF_FR1WO_duplicate.txt-101414	0.241121355	60898.06771
RH_Heart_TMTHF_FR1WO_duplicate.txt-101418	-0.002750859	88120.97396
RH_Heart_TMTHF_FR1WO_duplicate.txt-101423	0.206825815	89761.00001
RH_Heart_TMTHF_FR1WO_duplicate.txt-101425	0.140409345	97953.56511
RH_Heart_TMTHF_FR1WO_duplicate.txt-101429	0.088278318	75760.13542
RH_Heart_TMTHF_FR1WO_duplicate.txt-101430	0.175534902	93694.48176
RH_Heart_TMTHF_FR1WO_duplicate.txt-101432	0.080970836	89806.01303
RH_Heart_TMTHF_FR1WO_duplicate.txt-101434	0.114602218	98755.5
RH_Heart_TMTHF_FR1WO_duplicate.txt-101435	0.010896522	82969.70052
RH_Heart_TMTHF_FR1WO_duplicate.txt-101436	0.068744892	108232.4115
RH_Heart_TMTHF_FR1WO_duplicate.txt-101439	0.1528877	105421.2109
RH_Heart_TMTHF_FR1WO_duplicate.txt-101441	0.080908216	88487.40886
RH_Heart_TMTHF_FR1WO_duplicate.txt-101448	0.352215791	126625.1563
RH_Heart_TMTHF_FR1WO_duplicate.txt-101450	0.024160311	411277.1771
RH_Heart_TMTHF_FR1WO_duplicate.txt-101454	0.134584884	91980.6302
RH_Heart_TMTHF_FR1WO_duplicate.txt-101455	0.042552114	87153.4245
RH_Heart_TMTHF_FR1WO_duplicate.txt-101457	-0.08800198	245880.0104
RH_Heart_TMTHF_FR1WO_duplicate.txt-101477	0.048019368	449848.4583
RH_Heart_TMTHF_FR1WO_duplicate.txt-101480	-0.110741177	78380.19531
RH_Heart_TMTHF_FR1WO_duplicate.txt-101483	0.051604922	283950.4636
RH_Heart_TMTHF_FR1WO_duplicate.txt-101495	-0.04048141	172285.4375
RH_Heart_TMTHF_FR1WO_duplicate.txt-101496	0.149890773	113702.4453
RH_Heart_TMTHF_FR1WO_duplicate.txt-101500	0.128094168	247249.6615
RH_Heart_TMTHF_FR1WO_duplicate.txt-101502	0.166997612	300050.5521
RH_Heart_TMTHF_FR1WO_duplicate.txt-101504	0.092945621	49998.27344
RH_Heart_TMTHF_FR1WO_duplicate.txt-101505	0.131835823	38016.86003
RH_Heart_TMTHF_FR1WO_duplicate.txt-101511	0.086009007	28879.33398
RH_Heart_TMTHF_FR1WO_duplicate.txt-101512	0.14385787	63568.62761
RH_Heart_TMTHF_FR1WO_duplicate.txt-101555	0.202004027	256275.8125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101557	0.157809179	134570.9427
RH_Heart_TMTHF_FR1WO_duplicate.txt-101559	0.167013437	52816.81771
RH_Heart_TMTHF_FR1WO_duplicate.txt-101563	-0.049976765	198997.6511
RH_Heart_TMTHF_FR1WO_duplicate.txt-101577	0.335305593	161842.1771
RH_Heart_TMTHF_FR1WO_duplicate.txt-101579	0.154367141	38701.57292
RH_Heart_TMTHF_FR1WO_duplicate.txt-101584	-0.409423345	2254489.375
RH_Heart_TMTHF_FR1WO_duplicate.txt-101589	-0.078040205	854558.1458
RH_Heart_TMTHF_FR1WO_duplicate.txt-101596	0.039204686	537679.125
RH_Heart_TMTHF_FR1WO_duplicate.txt-101598	0.016679173	381813.0417
RH_Heart_TMTHF_FR1WO_duplicate.txt-101610	0.008613937	1178585.688
RH_Heart_TMTHF_FR1WO_duplicate.txt-101611	-0.095239314	967419.8542
RH_Heart_TMTHF_FR1WO_duplicate.txt-101612	0.050436243	1049919.208
RH_Heart_TMTHF_FR1WO_duplicate.txt-101613	-0.08745878	659513.5417
